date,tournament,surface,ace_pct,surface_speed
2017-04-24,Barcelona,Clay,0.053,0.56
2017-04-24,Budapest,Clay,0.061,0.59
2017-05-01,Istanbul,Clay,0.068,0.65
2017-05-01,Estoril,Clay,0.053,0.53
2017-05-01,Munich,Clay,0.087,1.01
2017-05-08,Madrid Masters,Clay,0.095,0.9
2017-05-15,Rome Masters,Clay,0.094,0.85
2017-05-22,Geneva,Clay,0.08199999999999999,0.85
2017-05-22,Lyon,Clay,0.085,0.86
2017-05-29,Roland Garros,Clay,0.077,0.76
2017-06-12,s Hertogenbosch,Grass,0.145,0.89
2017-06-12,Stuttgart,Grass,0.166,1.27
2017-06-19,Queen's Club,Grass,0.18,1.2
2017-06-19,Halle,Grass,0.113,1.19
2017-06-26,Eastbourne,Grass,0.107,1.0
2017-06-26,Antalya,Grass,0.11599999999999999,1.74
2017-07-03,Wimbledon,Grass,0.113,1.03
2017-07-17,Umag,Clay,0.045,0.62
2017-07-17,Newport,Grass,0.145,0.76
2017-07-17,Bastad,Clay,0.077,0.88
2017-07-24,Gstaad,Clay,0.076,0.92
2017-07-24,Hamburg,Clay,0.07,1.02
2017-07-24,Atlanta,Hard,0.152,0.86
2017-07-31,Kitzbuhel,Clay,0.09,1.02
2017-07-31,Washington,Hard,0.128,1.12
2017-07-31,Los Cabos,Hard,0.09699999999999999,1.28
2017-08-07,Canada Masters,Hard,0.105,0.98
2017-08-14,Cincinnati Masters,Hard,0.147,1.23
2017-08-21,Winston-Salem,Hard,0.096,1.08
2017-08-28,US Open,Hard,0.10300000000000001,0.97
2017-09-18,St. Petersburg,Hard,0.07200000000000001,0.8
2017-09-18,Metz,Hard,0.13,1.34
2017-09-25,Chengdu,Hard,0.10800000000000001,1.17
2017-09-25,Shenzhen,Hard,0.139,1.25
2017-10-02,Tokyo,Hard,0.125,1.18
2017-10-02,Beijing,Hard,0.10400000000000001,0.92
2017-10-09,Shanghai Masters,Hard,0.152,1.55
2017-10-16,Moscow,Hard,0.105,1.45
2017-10-16,Stockholm,Hard,0.11800000000000001,1.06
